0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
7;existentes/pagos;reforma;2415;"<100
";1<=X<4;3;masculino solteiro;sim;2.0;34;nenhum;proria;1;qualificado;1;0;0;1
60;Atrasos anteriores;abrir negocio;6836;"<100
";>=7;3;masculino solteiro;nao;4.0;63;nenhum;proria;2;qualificado;1;1;0;0
18;existentes/pagos;abrir negocio;1913;>=1000;<1;3;masculino cas/viu;nao;3.0;36;banco;proria;1;qualificado;1;1;0;1
24;existentes/pagos;moveis;4020;"<100
";1<=X<4;2;masculino solteiro;nao;2.0;27;loja;proria;1;qualificado;1;0;0;1
18;existentes/pagos;veiculo novo;5866;100<=X<500;1<=X<4;2;masculino solteiro;nao;2.0;30;nenhum;proria;2;qualificado;1;1;0;1
12;Critico-outros creditos;abrir negocio;1264;"Desconhecido
";>=7;4;masculino solteiro;nao;4.0;57;nenhum;alugada;1;nao qualificado;1;0;0;1
45;Critico-outros creditos;reforma;4746;"<100
";<1;4;masculino solteiro;nao;2.0;25;nenhum;proria;2;nao qualificado;1;0;0;0
48;Critico-outros creditos;educacao;6110;"<100
";1<=X<4;1;masculino solteiro;nao;3.0;31;banco;de graca;1;qualificado;1;1;0;1
18;existentes/pagos;reforma;2100;"<100
";1<=X<4;4;masculino solteiro;co requerente;2.0;37;loja;proria;1;qualificado;1;0;0;0
10;existentes/pagos;quitar divida;1225;"<100
";1<=X<4;2;masculino solteiro;nao;2.0;37;nenhum;proria;1;qualificado;1;1;0;1
9;existentes/pagos;reforma;458;"<100
";1<=X<4;4;masculino solteiro;nao;3.0;24;nenhum;proria;1;qualificado;1;0;0;1
30;existentes/pagos;reforma;2333;500<=X<1000;>=7;4;masculino solteiro;nao;2.0;30;banco;proria;1;altamente qualificado/empresario;1;0;0;1
12;existentes/pagos;reforma;1158;500<=X<1000;1<=X<4;3;maculino div/dep;nao;1.0;26;nenhum;proria;1;qualificado;1;1;0;1
18;Atrasos anteriores;reforma casa;6204;"<100
";1<=X<4;2;masculino solteiro;nao;4.0;44;nenhum;proria;1;nao qualificado;2;1;0;1
30;Critico-outros creditos;veiculo usado;6187;100<=X<500;4<=X<7;1;masculino cas/viu;nao;4.0;24;nenhum;alugada;2;qualificado;1;0;0;1
11;Critico-outros creditos;veiculo novo;1393;"<100
";<1;4;feminino div/dep/cas;nao;4.0;35;nenhum;proria;2;altamente qualificado/empresario;1;0;0;1
36;existentes/pagos;reforma;2299;500<=X<1000;>=7;4;masculino solteiro;nao;4.0;39;nenhum;proria;1;qualificado;1;0;0;1
6;existentes/pagos;veiculo usado;1352;500<=X<1000;Desempregado;1;feminino div/dep/cas;nao;2.0;23;nenhum;alugada;1;desempregado;1;1;0;1
11;Critico-outros creditos;veiculo novo;7228;"<100
";1<=X<4;1;masculino solteiro;nao;4.0;39;nenhum;proria;2;nao qualificado;1;0;0;1
12;existentes/pagos;reforma;2073;100<=X<500;1<=X<4;4;feminino div/dep/cas;co requerente;2.0;28;nenhum;proria;1;qualificado;1;0;0;1
24;Atrasos anteriores;moveis;2333;"Desconhecido
";<1;4;masculino solteiro;nao;2.0;29;banco;proria;1;nao qualificado;1;0;0;1
27;Atrasos anteriores;veiculo usado;5965;"<100
";>=7;1;masculino solteiro;nao;2.0;30;nenhum;proria;2;altamente qualificado/empresario;1;1;0;1
12;existentes/pagos;reforma;1262;"<100
";1<=X<4;3;masculino solteiro;nao;2.0;25;nenhum;proria;1;qualificado;1;0;0;1
18;existentes/pagos;veiculo usado;3378;"Desconhecido
";1<=X<4;2;masculino solteiro;nao;1.0;31;nenhum;proria;1;qualificado;1;1;0;1
36;Atrasos anteriores;veiculo novo;2225;"<100
";>=7;4;masculino solteiro;nao;4.0;57;banco;de graca;2;qualificado;1;1;0;0
12;existentes/pagos;reforma;6468;"Desconhecido
";Desempregado;2;masculino solteiro;nao;1.0;52;nenhum;proria;1;altamente qualificado/empresario;1;1;0;0
36;Critico-outros creditos;reforma;9566;"<100
";1<=X<4;2;feminino div/dep/cas;nao;2.0;31;loja;proria;2;qualificado;1;0;0;1
18;existentes/pagos;veiculo novo;1961;"<100
";>=7;3;feminino div/dep/cas;nao;2.0;23;nenhum;proria;1;altamente qualificado/empresario;1;0;0;1
36;Critico-outros creditos;moveis;6229;"<100
";<1;4;feminino div/dep/cas;co requerente;4.0;23;nenhum;alugada;2;nao qualificado;1;1;0;0
9;existentes/pagos;abrir negocio;1391;"<100
";1<=X<4;2;masculino cas/viu;nao;1.0;27;banco;proria;1;qualificado;1;1;0;1
15;Critico-outros creditos;reforma;1537;"Desconhecido
";>=7;4;masculino solteiro;sim;4.0;50;nenhum;proria;2;qualificado;1;1;0;1
36;sem creditos/todos pagos;abrir negocio;1953;"<100
";>=7;4;masculino solteiro;nao;4.0;61;nenhum;de graca;1;altamente qualificado/empresario;1;1;0;0
48;sem creditos/todos pagos;abrir negocio;14421;"<100
";1<=X<4;2;masculino solteiro;nao;2.0;25;nenhum;proria;1;qualificado;1;1;0;0
24;existentes/pagos;reforma;3181;"<100
";<1;4;feminino div/dep/cas;nao;4.0;26;nenhum;proria;1;qualificado;1;1;0;1
27;existentes/pagos;reforma casa;5190;"Desconhecido
";>=7;4;masculino solteiro;nao;4.0;48;nenhum;proria;4;qualificado;2;1;0;1
12;existentes/pagos;reforma;2171;"<100
";<1;2;feminino div/dep/cas;nao;2.0;29;banco;proria;1;qualificado;1;0;0;1
12;existentes/pagos;veiculo novo;1007;>=1000;1<=X<4;4;masculino cas/viu;nao;1.0;22;nenhum;proria;1;qualificado;1;0;0;1
36;existentes/pagos;reforma;2394;"Desconhecido
";1<=X<4;4;feminino div/dep/cas;nao;4.0;25;nenhum;proria;1;qualificado;1;0;0;1
12;existentes/pagos;moveis;1474;"<100
";<1;4;feminino div/dep/cas;nao;;33;banco;proria;1;altamente qualificado/empresario;1;1;0;1
36;existentes/pagos;veiculo usado;8133;"<100
";1<=X<4;1;feminino div/dep/cas;nao;2.0;30;banco;proria;1;qualificado;1;0;0;1
7;Critico-outros creditos;reforma;730;"Desconhecido
";>=7;4;masculino solteiro;nao;2.0;46;nenhum;alugada;2;nao qualificado;1;1;0;1
8;Critico-outros creditos;outros;1164;"<100
";>=7;3;masculino solteiro;nao;4.0;51;banco;de graca;2;altamente qualificado/empresario;2;1;0;1
42;Critico-outros creditos;abrir negocio;5954;"<100
";4<=X<7;2;feminino div/dep/cas;nao;1.0;41;banco;proria;2;nao qualificado;1;0;0;1
12;Critico-outros creditos;veiculo usado;1526;"<100
";>=7;4;masculino solteiro;nao;4.0;66;nenhum;de graca;2;altamente qualificado/empresario;1;0;0;1
42;existentes/pagos;reforma;3965;"<100
";<1;4;masculino solteiro;nao;3.0;34;nenhum;proria;1;qualificado;1;0;0;0
54;sem creditos/todos pagos;veiculo usado;9436;"Desconhecido
";1<=X<4;2;masculino solteiro;nao;2.0;39;nenhum;proria;1;nao qualificado;2;0;0;1
30;existentes/pagos;moveis;3832;"<100
";<1;2;masculino cas/viu;nao;1.0;22;nenhum;proria;1;qualificado;1;0;0;1
24;existentes/pagos;reforma;5943;"Desconhecido
";<1;1;feminino div/dep/cas;nao;1.0;44;nenhum;proria;2;qualificado;1;1;0;0
15;existentes/pagos;reforma;1213;500<=X<1000;>=7;4;masculino solteiro;nao;3.0;47;loja;proria;1;qualificado;1;1;0;1
18;existentes/pagos;abrir negocio;1568;100<=X<500;1<=X<4;3;feminino div/dep/cas;nao;4.0;24;nenhum;alugada;1;nao qualificado;1;0;0;1
24;existentes/pagos;outros;1755;"<100
";>=7;4;feminino div/dep/cas;sim;4.0;58;nenhum;proria;1;nao qualificado;1;1;0;1
10;existentes/pagos;reforma;2315;"<100
";>=7;3;masculino solteiro;nao;4.0;52;nenhum;proria;1;nao qualificado;1;0;0;1
12;Critico-outros creditos;abrir negocio;1412;"<100
";1<=X<4;4;feminino div/dep/cas;sim;2.0;29;nenhum;proria;2;altamente qualificado/empresario;1;1;0;1
18;Critico-outros creditos;moveis;1295;"<100
";<1;4;feminino div/dep/cas;nao;1.0;27;nenhum;proria;2;qualificado;1;0;0;1
36;existentes/pagos;educacao;12612;100<=X<500;1<=X<4;1;masculino solteiro;nao;4.0;47;nenhum;de graca;1;qualificado;2;1;0;0
18;existentes/pagos;veiculo novo;2249;100<=X<500;4<=X<7;4;masculino solteiro;nao;3.0;30;nenhum;proria;1;altamente qualificado/empresario;2;1;0;1
12;sem creditos/todos pagos;reforma casa;1108;"<100
";4<=X<7;4;masculino solteiro;nao;3.0;28;nenhum;proria;2;qualificado;1;0;0;0
12;Critico-outros creditos;reforma;618;"<100
";>=7;4;masculino solteiro;nao;4.0;56;nenhum;proria;1;qualificado;1;0;0;1
12;Critico-outros creditos;veiculo usado;1409;"<100
";>=7;4;masculino solteiro;nao;3.0;54;nenhum;proria;1;qualificado;1;0;0;1
12;Critico-outros creditos;reforma;797;"Desconhecido
";>=7;4;feminino div/dep/cas;nao;3.0;33;banco;proria;1;nao qualificado;2;0;0;0
24;Critico-outros creditos;moveis;3617;"Desconhecido
";>=7;4;masculino solteiro;co requerente;4.0;20;nenhum;alugada;2;qualificado;1;0;0;1
54;sem creditos/todos pagos;abrir negocio;15945;"<100
";<1;3;masculino solteiro;nao;4.0;58;nenhum;alugada;1;qualificado;1;1;0;0
12;Critico-outros creditos;educacao;2012;"Desconhecido
";4<=X<7;4;feminino div/dep/cas;nao;2.0;61;nenhum;proria;1;qualificado;1;0;0;1
18;existentes/pagos;abrir negocio;2622;100<=X<500;1<=X<4;4;masculino solteiro;nao;4.0;34;nenhum;proria;1;qualificado;1;0;0;1
36;Critico-outros creditos;reforma;2337;"<100
";>=7;4;masculino solteiro;nao;4.0;36;nenhum;proria;1;qualificado;1;0;0;1
20;Atrasos anteriores;veiculo usado;7057;"Desconhecido
";4<=X<7;3;masculino solteiro;nao;4.0;36;banco;alugada;2;altamente qualificado/empresario;2;1;0;1
24;existentes/pagos;veiculo novo;1469;100<=X<500;>=7;4;masculino cas/viu;nao;4.0;41;nenhum;alugada;1;nao qualificado;1;0;0;1
36;existentes/pagos;reforma;2323;"<100
";4<=X<7;4;masculino solteiro;nao;4.0;24;nenhum;alugada;1;qualificado;1;0;0;1
6;Atrasos anteriores;reforma;932;"<100
";1<=X<4;3;feminino div/dep/cas;nao;2.0;24;nenhum;proria;1;qualificado;1;0;0;1
9;Critico-outros creditos;moveis;1919;"<100
";4<=X<7;4;masculino solteiro;nao;3.0;35;nenhum;alugada;1;qualificado;1;1;0;1
12;existentes/pagos;veiculo usado;2445;"Desconhecido
";<1;2;masculino cas/viu;nao;4.0;26;nenhum;alugada;1;qualificado;1;1;0;1
24;Critico-outros creditos;outros;11938;"<100
";1<=X<4;2;masculino solteiro;co aplicante;3.0;39;nenhum;proria;2;altamente qualificado/empresario;2;1;0;0
18;todos pagos;veiculo novo;6458;"<100
";>=7;2;masculino solteiro;nao;4.0;39;banco;proria;2;altamente qualificado/empresario;2;1;0;0
12;existentes/pagos;veiculo novo;6078;"<100
";4<=X<7;2;masculino solteiro;nao;2.0;32;nenhum;proria;1;qualificado;1;0;0;1
24;existentes/pagos;moveis;7721;"Desconhecido
";<1;1;feminino div/dep/cas;nao;2.0;30;nenhum;proria;1;qualificado;1;1;1;1
14;existentes/pagos;abrir negocio;1410;500<=X<1000;>=7;1;masculino cas/viu;nao;2.0;35;nenhum;proria;1;qualificado;1;1;0;1
6;Atrasos anteriores;abrir negocio;1449;100<=X<500;>=7;1;maculino div/dep;nao;2.0;31;banco;proria;2;qualificado;2;0;0;1
15;existentes/pagos;educacao;392;"<100
";<1;4;feminino div/dep/cas;nao;4.0;23;nenhum;alugada;1;qualificado;1;1;0;1
18;existentes/pagos;veiculo novo;6260;"<100
";4<=X<7;3;masculino solteiro;nao;3.0;28;nenhum;alugada;1;nao qualificado;1;0;0;1
36;Critico-outros creditos;veiculo novo;7855;"<100
";1<=X<4;4;feminino div/dep/cas;nao;2.0;25;loja;proria;2;qualificado;1;1;0;0
12;existentes/pagos;reforma;1680;500<=X<1000;>=7;3;masculino cas/viu;nao;1.0;35;nenhum;proria;1;qualificado;1;0;0;1
48;Critico-outros creditos;reforma;3578;"Desconhecido
";>=7;4;masculino solteiro;nao;1.0;47;nenhum;proria;1;qualificado;1;1;0;1
42;existentes/pagos;reforma;7174;"Desconhecido
";4<=X<7;4;feminino div/dep/cas;nao;3.0;30;nenhum;proria;1;altamente qualificado/empresario;1;1;0;0
10;Critico-outros creditos;moveis;2132;"Desconhecido
";<1;2;feminino div/dep/cas;co requerente;3.0;27;nenhum;alugada;2;qualificado;1;0;1;1
33;Critico-outros creditos;moveis;4281;500<=X<1000;1<=X<4;1;feminino div/dep/cas;nao;4.0;23;nenhum;proria;2;qualificado;1;0;0;0
12;Critico-outros creditos;veiculo novo;2366;500<=X<1000;4<=X<7;3;maculino div/dep;nao;3.0;36;nenhum;proria;1;altamente qualificado/empresario;1;1;0;1
21;existentes/pagos;reforma;1835;"<100
";1<=X<4;3;feminino div/dep/cas;nao;2.0;25;nenhum;proria;2;qualificado;1;1;0;0
24;Critico-outros creditos;veiculo usado;3868;"<100
";>=7;4;feminino div/dep/cas;nao;2.0;41;nenhum;alugada;2;altamente qualificado/empresario;1;1;0;1
12;existentes/pagos;moveis;1768;"<100
";1<=X<4;3;masculino solteiro;nao;2.0;24;nenhum;alugada;1;nao qualificado;1;0;0;1
10;Critico-outros creditos;veiculo novo;781;"<100
";>=7;4;masculino solteiro;nao;4.0;63;nenhum;de graca;2;qualificado;1;1;0;1
18;existentes/pagos;moveis;1924;"Desconhecido
";<1;4;feminino div/dep/cas;nao;3.0;27;nenhum;alugada;1;qualificado;1;0;0;0
12;Critico-outros creditos;veiculo novo;2121;"<100
";1<=X<4;4;masculino solteiro;nao;2.0;30;nenhum;proria;2;qualificado;1;0;0;1
12;existentes/pagos;reforma;701;"<100
";1<=X<4;4;masculino cas/viu;nao;2.0;40;nenhum;proria;1;nao qualificado;1;0;0;1
12;existentes/pagos;reforma casa;639;"<100
";1<=X<4;4;masculino solteiro;nao;2.0;30;nenhum;proria;1;qualificado;1;0;0;0
12;Critico-outros creditos;veiculo usado;1860;"<100
";Desempregado;4;masculino solteiro;nao;2.0;34;nenhum;proria;2;altamente qualificado/empresario;1;1;0;1
12;Critico-outros creditos;veiculo novo;3499;"<100
";1<=X<4;3;feminino div/dep/cas;co requerente;2.0;29;nenhum;proria;2;qualificado;1;0;0;0
48;existentes/pagos;veiculo novo;8487;"Desconhecido
";4<=X<7;1;feminino div/dep/cas;nao;2.0;24;nenhum;proria;1;qualificado;1;0;0;1
36;Atrasos anteriores;educacao;6887;"<100
";1<=X<4;4;masculino solteiro;nao;3.0;29;loja;proria;1;qualificado;1;1;0;0
15;existentes/pagos;moveis;2708;"<100
";<1;2;masculino solteiro;nao;3.0;27;banco;proria;2;nao qualificado;1;0;0;1
18;existentes/pagos;moveis;1984;"<100
";1<=X<4;4;masculino solteiro;nao;4.0;47;banco;de graca;2;qualificado;1;0;0;1
60;existentes/pagos;reforma;10144;100<=X<500;4<=X<7;2;feminino div/dep/cas;nao;4.0;21;nenhum;proria;1;qualificado;1;1;0;1
12;Critico-outros creditos;reforma;1240;"Desconhecido
";>=7;4;feminino div/dep/cas;nao;2.0;38;nenhum;proria;2;qualificado;1;1;0;1
27;Atrasos anteriores;veiculo usado;8613;>=1000;1<=X<4;2;masculino solteiro;nao;2.0;27;nenhum;proria;2;qualificado;1;0;0;1
12;existentes/pagos;reforma;766;500<=X<1000;1<=X<4;4;masculino solteiro;nao;3.0;66;nenhum;proria;1;nao qualificado;1;0;0;0
15;Critico-outros creditos;reforma;2728;"Desconhecido
";4<=X<7;4;masculino solteiro;sim;2.0;35;banco;proria;3;qualificado;1;1;0;1
12;existentes/pagos;reforma;1881;"<100
";1<=X<4;2;feminino div/dep/cas;nao;2.0;44;nenhum;alugada;1;nao qualificado;1;1;0;1
6;existentes/pagos;veiculo novo;709;>=1000;<1;2;masculino cas/viu;nao;2.0;27;nenhum;proria;1;desempregado;1;0;1;1
36;existentes/pagos;reforma;4795;"<100
";<1;4;feminino div/dep/cas;nao;1.0;30;nenhum;proria;1;altamente qualificado/empresario;1;1;0;1
27;existentes/pagos;reforma;3416;"<100
";1<=X<4;3;masculino solteiro;nao;2.0;27;nenhum;proria;1;altamente qualificado/empresario;1;0;0;1
18;existentes/pagos;moveis;2462;"<100
";1<=X<4;2;masculino solteiro;nao;2.0;22;nenhum;proria;1;qualificado;1;0;0;0
48;todos pagos;abrir negocio;3566;100<=X<500;4<=X<7;4;masculino solteiro;nao;2.0;30;nenhum;proria;1;qualificado;1;0;0;1
6;Critico-outros creditos;veiculo novo;860;"<100
";>=7;1;feminino div/dep/cas;nao;4.0;39;nenhum;proria;2;qualificado;1;1;0;1
12;Critico-outros creditos;veiculo novo;682;100<=X<500;4<=X<7;4;feminino div/dep/cas;nao;3.0;51;nenhum;proria;2;qualificado;1;1;0;1
36;Critico-outros creditos;moveis;5371;"<100
";1<=X<4;3;masculino solteiro;sim;2.0;28;nenhum;proria;2;qualificado;1;0;0;1
18;Critico-outros creditos;reforma;1582;>=1000;>=7;4;masculino solteiro;nao;4.0;46;nenhum;proria;2;qualificado;1;0;0;1
6;existentes/pagos;reforma;1346;100<=X<500;>=7;2;masculino solteiro;nao;4.0;42;banco;de graca;1;qualificado;2;1;0;1
10;existentes/pagos;reforma;1924;"<100
";1<=X<4;1;masculino solteiro;nao;4.0;38;nenhum;proria;1;qualificado;1;1;1;1
36;existentes/pagos;reforma;5848;"<100
";1<=X<4;4;masculino solteiro;nao;1.0;24;nenhum;proria;1;qualificado;1;0;0;1
24;Critico-outros creditos;veiculo usado;7758;>=1000;>=7;2;feminino div/dep/cas;nao;4.0;29;nenhum;alugada;1;qualificado;1;0;0;1
24;Atrasos anteriores;abrir negocio;6967;100<=X<500;4<=X<7;4;masculino solteiro;nao;4.0;36;nenhum;alugada;1;altamente qualificado/empresario;1;1;0;1
12;existentes/pagos;moveis;1282;"<100
";1<=X<4;2;feminino div/dep/cas;nao;4.0;20;nenhum;alugada;1;qualificado;1;0;0;0
9;Critico-outros creditos;reforma casa;1288;100<=X<500;>=7;3;masculino solteiro;sim;4.0;48;nenhum;proria;2;qualificado;2;0;1;1
12;todos pagos;qualificacao;339;"<100
";>=7;4;masculino cas/viu;nao;1.0;45;banco;proria;1;nao qualificado;1;0;0;1
24;existentes/pagos;veiculo novo;3512;100<=X<500;4<=X<7;2;masculino solteiro;nao;3.0;38;banco;proria;2;qualificado;1;1;0;1
6;Critico-outros creditos;reforma;1898;"Desconhecido
";1<=X<4;1;masculino solteiro;nao;2.0;34;nenhum;proria;2;nao qualificado;2;0;0;1
24;Critico-outros creditos;reforma;2872;100<=X<500;>=7;3;masculino solteiro;nao;4.0;36;nenhum;proria;1;qualificado;2;1;0;1
18;Critico-outros creditos;veiculo novo;1055;"<100
";<1;4;feminino div/dep/cas;nao;1.0;30;nenhum;proria;2;qualificado;1;0;0;1
15;existentes/pagos;quitar divida;1262;500<=X<1000;4<=X<7;4;masculino solteiro;nao;3.0;36;nenhum;proria;2;qualificado;1;1;0;1
10;existentes/pagos;veiculo novo;7308;"<100
";Desempregado;2;masculino solteiro;nao;4.0;70;banco;de graca;1;altamente qualificado/empresario;1;1;0;1
36;existentes/pagos;veiculo novo;909;500<=X<1000;>=7;4;masculino solteiro;nao;4.0;36;nenhum;proria;1;qualificado;1;0;0;1
6;existentes/pagos;moveis;2978;500<=X<1000;1<=X<4;1;masculino solteiro;nao;2.0;32;nenhum;proria;1;qualificado;1;1;0;1
18;existentes/pagos;moveis;1131;"<100
";Desempregado;4;feminino div/dep/cas;nao;2.0;33;nenhum;proria;1;qualificado;1;0;0;0
11;existentes/pagos;moveis;1577;>=1000;<1;4;feminino div/dep/cas;nao;1.0;20;nenhum;proria;1;qualificado;1;0;0;1
24;Critico-outros creditos;abrir negocio;1935;"<100
";>=7;4;maculino div/dep;nao;4.0;31;nenhum;proria;2;qualificado;1;1;0;0
15;sem creditos/todos pagos;veiculo novo;950;"<100
";>=7;4;masculino solteiro;nao;3.0;33;nenhum;alugada;2;qualificado;2;0;0;0
12;existentes/pagos;moveis;763;"<100
";1<=X<4;4;feminino div/dep/cas;nao;1.0;26;nenhum;proria;1;qualificado;1;1;0;1
24;Atrasos anteriores;moveis;2064;"<100
";Desempregado;3;feminino div/dep/cas;nao;2.0;34;nenhum;proria;1;altamente qualificado/empresario;1;1;0;0
21;Atrasos anteriores;educacao;3414;"<100
";<1;2;masculino solteiro;nao;1.0;26;nenhum;proria;2;qualificado;1;0;0;0
30;todos pagos;veiculo usado;7485;"Desconhecido
";Desempregado;4;feminino div/dep/cas;nao;1.0;53;banco;proria;1;altamente qualificado/empresario;1;1;0;0
12;existentes/pagos;moveis;2577;"<100
";1<=X<4;2;maculino div/dep;nao;1.0;42;nenhum;proria;1;qualificado;1;0;0;1
6;Critico-outros creditos;reforma;338;500<=X<1000;>=7;4;masculino solteiro;nao;4.0;52;nenhum;proria;2;qualificado;1;0;0;1
12;existentes/pagos;reforma;1963;"<100
";4<=X<7;4;masculino solteiro;nao;2.0;31;nenhum;alugada;2;altamente qualificado/empresario;2;1;0;1
21;Critico-outros creditos;veiculo novo;571;"<100
";>=7;4;masculino solteiro;nao;4.0;65;nenhum;proria;2;qualificado;1;0;0;1
36;Atrasos anteriores;abrir negocio;9572;"<100
";<1;1;maculino div/dep;nao;1.0;28;nenhum;proria;2;qualificado;1;0;0;0
36;Atrasos anteriores;abrir negocio;4455;"<100
";1<=X<4;2;maculino div/dep;nao;2.0;30;loja;proria;2;altamente qualificado/empresario;1;1;0;0
21;todos pagos;veiculo novo;1647;"Desconhecido
";1<=X<4;4;masculino solteiro;nao;2.0;40;nenhum;proria;2;nao qualificado;2;0;0;0
24;Critico-outros creditos;moveis;3777;>=1000;1<=X<4;4;masculino solteiro;nao;4.0;50;nenhum;proria;1;qualificado;1;1;0;1
18;Critico-outros creditos;veiculo novo;884;"<100
";>=7;4;masculino solteiro;nao;4.0;36;banco;proria;1;qualificado;2;1;0;0
15;Critico-outros creditos;reforma;1360;"<100
";1<=X<4;4;masculino solteiro;nao;2.0;31;nenhum;proria;2;qualificado;1;0;0;1
9;todos pagos;veiculo usado;5129;"<100
";>=7;2;feminino div/dep/cas;nao;4.0;74;banco;de graca;1;altamente qualificado/empresario;2;1;0;0
16;Critico-outros creditos;veiculo novo;1175;"<100
";Desempregado;2;masculino solteiro;nao;3.0;68;nenhum;de graca;3;desempregado;1;1;0;1
12;existentes/pagos;reforma;674;100<=X<500;4<=X<7;4;masculino cas/viu;nao;1.0;20;nenhum;proria;1;qualificado;1;0;0;0
18;sem creditos/todos pagos;moveis;3244;"<100
";1<=X<4;1;feminino div/dep/cas;nao;4.0;33;banco;proria;2;qualificado;1;1;0;1
24;existentes/pagos;abrir negocio;4591;>=1000;1<=X<4;2;masculino solteiro;nao;3.0;54;nenhum;proria;3;altamente qualificado/empresario;1;1;0;0
48;sem creditos/todos pagos;abrir negocio;3844;100<=X<500;4<=X<7;4;masculino solteiro;nao;4.0;34;nenhum;de graca;1;nao qualificado;2;0;0;0
27;existentes/pagos;abrir negocio;3915;"<100
";1<=X<4;4;masculino solteiro;nao;2.0;36;nenhum;proria;1;qualificado;2;1;0;0
6;existentes/pagos;reforma;2108;"<100
";4<=X<7;2;masculino cas/viu;nao;2.0;29;nenhum;alugada;1;qualificado;1;0;0;1
45;existentes/pagos;reforma;3031;100<=X<500;1<=X<4;4;masculino solteiro;sim;4.0;21;nenhum;alugada;1;qualificado;1;0;0;0
9;Critico-outros creditos;educacao;1501;"<100
";>=7;2;feminino div/dep/cas;nao;3.0;34;nenhum;proria;2;altamente qualificado/empresario;1;1;0;0
6;Critico-outros creditos;reforma;1382;"<100
";1<=X<4;1;feminino div/dep/cas;nao;1.0;28;nenhum;proria;2;qualificado;1;1;0;1
12;existentes/pagos;moveis;951;100<=X<500;<1;4;feminino div/dep/cas;nao;4.0;27;banco;alugada;4;qualificado;1;0;0;0
9;Critico-outros creditos;educacao;936;500<=X<1000;>=7;4;masculino solteiro;nao;2.0;52;nenhum;proria;2;qualificado;1;1;0;1
